County,Public School District,School Name,School Bldg Number,Administrator,Address,City,State,Zip,Phone Number,Email Address,Web Site Address,Grade,Profit/Non-Profit,Accredited,Residential School,Special Education,Gifted,,,
Snohomish,Edmonds,A Journey School,804M,Christa Giblin-Niven,21500 Cypress Way  Building B,Lynnwood,WA,98036-7939,425.445.9718,christa@ajourneyschool.com,www.ajourneyschool.com,P-1,P,NWAIS,,,,,,
King,Seattle,Academy for Precision Learning ,1483,"Jennifer Annable
Merit Malling","5031 University Way NE
(Mail: PO Box 51241
Seattle 98115-1241)",Seattle,WA,98105-4341,206.427.0115,"jennifer@aplschool.org
admin@aplschool.org",www.aplschool.org,K-12,NP,,,Yes,,,,
Snohomish,Marysville,Academy Northwest (formerly Academy NW/Marysville Campus 2017),803W,Denise Sumner,"514 State Ave  Suite 108
(Mail: PO Box 66839
Seattle WA 98166)",Marysville,WA,98270-4541,"360.658.0105
206.246.9227",Dsumner@academynorthwest.net,www.academynorthwest.org,K-12,NP,NWAC,,Yes,Yes,,,
King,Tukwila,Academy Schools/Children’s Academy,8240,"Jennifer Sargent, Director",14601 Interurban Ave S,Tukwila,WA,98168-4652,206.588.0860,"sargent@academyschools.org
administration@academyschools.org",www.academyschools.org,P-12,NP,AESD,,Yes,Yes,,,
King,Seattle,Alcuin School,8580,Christine Williams,216 W Boston,Seattle,WA,98119-2641,206.286.0771,chris@alcuinschool.com,www.alcuinschool.com,P-1,P,,,,,,,
King,Seattle,Alfajer School,804O,Balasim Abdelaziz,"8430 Rainier Ave S
(Mail: 3809 30th Ave W
Seattle WA 98199-7706)",Seattle,WA,98118-4655,206.747.9036,bal-aziz@hotmail.com,,K-12,NP,,,,,,,
Whatcom,Mount Baker,"Alger Learning Center, Inc.",8946,John Lackey,121 Alder Dr,Sedro-Woolley,WA,98284-8862,360.595.2630,freedom@independent-learning.com,www.independent-learning.com,K-12,P,,,,,,,
Spokane,Spokane,All Saints Catholic School,8196,Kathy Hicks,3510 E 18th Ave,Spokane,WA,99223-3813,509.534.1098 x 215,khicks@dioceseofspokane.org,www.allsaintsspokane.org,P-8,NP,WCEA,,,,,,
Pierce,Puyallup,All Saints School,8128,Amy Orm,504 2nd St SW,Puyallup,WA,98371-5801,253.845.5025,aorm@allsaintsparish.com,www.allsaintspuyallup.org,P-8,NP,WCEA,,,,,,
Pierce,Fife,All Saints School,8469,Amy Orm,2323 54th Ave E,Fife,WA,98424-1918,253.922.5360,aorm@allsaintsparish.com,www.allsaintspuyallup.org,P-2,NP,WCEA,,,,,,
King,Seattle,Amazing Grace Christian School,8343,Dr. David-Paul Zimmerman,10056 Renton Ave S,Seattle,WA,98178-2255,206.723.5526,"drzimmerman@agcschool.org
m.zimmerman@agcschool.org",www.agcschool.org,P-2,NP,,,,,,,
King,Bellevue,America's Child Montessori,8654,Linda Kebely,14340 NE 21st,Bellevue,WA,98007-3721,425.641.5437,dkebely@msn.com,www.americaschild.net,P-3,P,,,,,,,
Pierce,Tacoma,Annie Wright Schools (formerly Annie Wright School 2014),8130,Christian Sullivan,827 Tacoma Ave N,Tacoma,WA,98403-2899,253.272.2216,christian_sullivan@aw.org,www.aw.org,P-12,NP,NAIS,Yes,,,,,
King,Issaquah,Arbor Schools (formerly Eastside Montessori Ed Foundation dba Arbor Schs  (formerly Eastside Montessori Ed Foundation 2011) 2012),8479,Sean O'Brien,1107 228th Ave SE,Sammamish,WA,98075-9509,425.392.3866,sean@arborschools.com,www.arborschools.com,P-6,NP,,,,,,,
Snohomish,Everett,Archbishop Thomas J. Murphy High School,8883,Steve Schmutz,12911 39th Ave SE,Everett,WA,98208-6159,425.379.6363,sschmutz@am-hs.org,www.archbishopmurphys.org,9-12,NP,WCEA,,,,,,
Snohomish,Lakewood,Arlington Christian Schools (formerly Highland Christian Schools 2016; formerly Highlands Christian School),8931,Wendy Tavenner,"2425 200th St NE
(Mail: PO Box 3337
Arlington 98223-3337)",Arlington,WA,98223-9757,360.652.2988,wtavenner@hcswa.org,www.hcswa.org,K-12,NP,,,,,,,
King,Bellevue,Asia Pacific Language School,802P,Sharon Gao,"2015 Richards Rd
(Mail: 14040 NE 8th St  Ste 301
Bellevue WA 98007-4122)",Bellevue,WA,98005-3943,425.641.1703,"asianlanguage@hotmail.com
sharong@apls.org",www.apls.org,P-1,NP,AESD,,,,,,
Whatcom,Bellingham,Assumption Catholic School,8215,Dan Anderson,2116 Cornwall Ave,Bellingham,WA,98225-3699,360.733.6133,danderson@school.assumption.org,www.school.assumption.org,P-8,NP,WCEA,,Yes,,,,
Walla Walla,Walla Walla,Assumption Grade School,8212,John Lesko,2066 E Alder St,Walla Walla,WA,99362-2699,509.525.9283,jlesko@thewwcs.com,www.wallawallacatholicschools.com,P-8,NP,WCEA,,Yes,Yes,,,
Spokane,Spokane,Assumption School,8175,Timothy (TJ) Romano,3618 W Indian Trail Rd,Spokane,WA,99208-4734,509.328.1115,tromano@dioceseofspokane.org,www.assumptionspokane.org,P-8,NP,WCEA,,,,,,
King,Seattle,Assumption St. Bridget School,8028,Kathleen Conklin,6220 32nd Ave NE,Seattle,WA,98115-7233,206.524.7452,kconklin@asbschool.org,www.asbschool.org,P-8,NP,WCEA,,,,,,
King,Auburn,Auburn Adventist Academy,8096,Peter Fackenthall,5000 Auburn Way S,Auburn,WA,98002-7204,253.939.5000,peterfackenthall@gmail.com,www.auburnacademy.org,9-12,NP,SDA,Yes,,,,,
Whatcom,Ferndale,Baker View Christian School,8755,MaryAnn Barrett,5353 Waschke Rd,Bellingham,WA,98226-9612,360.384.8155,bakerviewchristian@gmail.com,www.bakerviewchristianschool.com,K-12,NP,SDA,,,,,,
Pierce,Tacoma,Bellarmine Preparatory School,8132,Cindy Davis,2300 S Washington St,Tacoma,WA,98405-1399,253.752.7701,davisc@bellarmineprep.org,www.bellarmineprep.org,9-12,NP,WCEA,,,,,,
